一	横
僰	横,竖,横折,竖,撇,点,横,竖,横折,竖,撇,点,撇,捺
僳	撇,竖,横,竖,横折,竖,竖,横,点,撇,横,竖,撇,捺
僵	撇,竖,横,竖,横折,横,竖,横,横,竖,横折,横,竖,横,横
僻	撇,竖,横折,横,撇,竖,横折,横,点,横,点,撇,横,横,竖
儆	撇,竖,横,竖,竖,撇,横折钩,竖,横折,横,撇,横,撇,捺
儇	撇,竖,竖,横折,竖,竖,横,横,竖,横折,横,撇,竖提,撇,捺
儋	撇,竖,撇,横撇|横钩,横,撇,撇,点,点,横,横,横,竖,横折,横
儒	撇,竖,横,点2,横撇|横钩,竖,点,点,点,点,横,撇,竖,横折钩,竖,竖
儡	撇,竖,竖,横折,横,竖,横,竖,横折,横,竖,横,竖,横折,横,竖,横
儦	
儳	
儴	
儿	撇,竖弯钩
兀	横,撇,竖弯钩
允	撇折,点,撇,竖弯钩
元	横,横,撇,竖弯钩
兄	竖,横折,横,撇,竖弯钩
充	点,横,撇折,点,撇,竖弯钩
兆	撇,点,提,竖弯钩,撇,点
先	撇,横,竖,横,撇,竖弯钩
光	竖,点,撇,横,撇,竖弯钩
克	横,竖,竖,横折,横,撇,竖弯钩
免	撇,横撇|横钩,竖,横折,横,撇,竖弯钩
兑	点,撇,竖,横折,横,撇,竖弯钩
兔	撇,横撇|横钩,竖,横折,横,撇,竖弯钩,点
兕	竖,横折折|横折弯,竖,横折,横,撇,竖弯钩
兖	点,横,撇,点,撇折,点,撇,竖弯钩
党	竖,点,撇,点2,横撇|横钩,竖,横折,横,撇,竖弯钩
兜	撇,竖,横折,横,横,撇,竖提,横折,横,撇,竖弯钩
兢	横,竖,竖,横折,横,撇,竖提,横,竖,竖,横折,横,撇,竖弯钩
入	撇,捺
全	撇,捺,横,横,竖,横
八	撇,捺
公	撇,捺,撇折,点
六	点,横,撇,点
兮	撇,捺,横,竖折折钩
兰	点,撇,横,横,横
共	横,竖,竖,横,撇,点
关	点,撇,横,横,撇,捺
兴	点,点,撇,横,撇,点
兵	撇,竖,横,竖,横,撇,点
其	横,竖,竖,横,横,横,撇,点
具	竖,横折,横,横,横,横,撇,点
典	竖,横折,横,竖,竖,横,撇,点
兹	点,撇,横,撇折,撇折,点,撇折,撇折,点
养	点,撇,横,横,横,撇,捺,撇,竖
兼	点,撇,横,横折,横,横,竖,竖,撇,捺
兽	点,撇,竖,横折,横,竖,横,横,竖,横折,横
冀	竖,横,提,撇,竖弯钩,竖,横折,横,竖,横,横,竖,竖,横,撇,点
冁	点,撇,竖,横折,横,横,横,竖,横折,横,撇,横,竖,竖,横,竖提,撇,捺
内	竖,横折钩,撇,点
