一	横
焦	撇,竖,点,横,横,横,竖,横,点,点,点,点
朁	横,竖折,撇,竖提,横,竖折,撇,竖弯钩,竖,横折,横,横
童	点,横,点,撇,横,竖,横折,横,横,竖,横,横
棘	横,竖,横折钩,竖,撇,点,横,竖,横折钩,竖,撇,捺
粟	横,竖,横折,竖,竖,横,点,撇,横,竖,撇,捺
畺	横,竖,横折,横,竖,横,横,竖,横折,横,竖,横,横
辟	横折,横,撇,竖,横折,横,点,横,点,撇,横,横,竖
敬	横,竖,竖,撇,横折钩,竖,横折,横,撇,横,撇,捺
睘	竖,横折,竖,竖,横,横,竖,横折,横,撇,竖提,撇,捺
詹	撇,横撇,横,撇,撇,点,点,横,横,横,竖,横折,横
需	横,点,横钩,竖,点,点,点,点,横,撇,竖,横折钩,竖,竖
畾	竖,横折,横,竖,横,竖,横折,横,竖,横,竖,横折,横,竖,横
麃	点,横,撇,横折,竖,竖,横,横,竖提,撇,竖弯钩,点,点,点,点
毚	撇,横撇,竖,横折,横,横,竖提,撇,竖弯钩,撇,横撇,竖,横折,横,撇,竖弯钩,点
襄	点,横,竖,横折,横,竖,横折,横,横,横,竖,竖,横,撇,竖提,撇,捺
儿	撇,竖弯钩
兀	横,撇,竖弯钩
𠫓	横,撇折,点
𠂒	撇,横,竖,横
兄	竖,横折,横,撇,竖弯钩
免	撇,横撇,竖,横折,横,撇,竖弯钩
凹	竖,横折折,竖,横折,横
兊	撇,捺,撇折,点,撇,竖弯钩
龸	点,竖,撇,点,横钩
克	横,竖,竖,横折,横,撇,竖弯钩
入	撇,捺
王	横,横,竖,横
八	撇,捺
龷	横,竖,竖,横
天	横,横,撇,捺
䒑	点,撇,横
𢆶	撇折,撇折,点,撇折,撇折,点
夫	横,横,撇,捺
𬎿	点,撇,竖,横折,横,竖,横
異	竖,横折,横,竖,横,横,竖,竖,横,撇,点
展	横折,横,撇,横,竖,竖,横,竖提,撇,捺
㐅	撇,点
冉	竖,横折钩,竖,横,横
册	撇,横折钩,撇,横折钩,横
㕣	撇,捺,竖,横折,横
冃	竖,横折钩,横,横
目	竖,横折,横,横,横
吁	竖,横折,横,横,横,竖钩
与	横,竖折折钩,横
车	横,撇折,横,竖
㝴	横,横,撇,竖弯钩,横,竖钩,点
豖	横,撇,弯钩,撇,撇,点,撇,捺
兔	撇,横撇,竖,横折,横,撇,竖弯钩,点
昗	竖,横折,横,横,点,横,撇,点
马	横折,竖折折钩,横
水	竖钩,横撇,撇,捺
互	横,撇折,横折,横
夬	横折,横,撇,捺
争	撇,横撇,横折,横,横,竖钩
妻	横,横折,横,横,竖,撇点,撇,横
隹	撇,竖,点,横,横,横,竖,横
松	横,竖,撇,点,撇,捺,撇折,点
夌	横,竖,横,撇,点,撇,横撇,捺
咸	横,撇,横,竖,横折,横,斜钩,撇,点
奏	横,横,横,撇,捺,横,横,撇,点
斯	横,竖,竖,横,横,横,撇,点,撇,撇,横,竖
禀	点,横,竖,横折,竖,横折,横,横,横,横,竖钩,撇,点
疑	撇,竖弯钩,撇,横,横,撇,点,横撇,点,横钩,竖,横,撇,捺
任	撇,竖,撇,横,竖,横
岂	竖,竖折,竖,横折,横,竖弯钩
皇	撇,竖,横折,横,横,横,横,竖,横
登	横撇,点,撇,撇,捺,横,竖,横折,横,点,撇,横
凵	竖折,竖
凸	竖,横,竖,横折折折,横
屮	竖折,竖,竖
丵	竖,竖,点,撇,横,点,撇,横,横,竖
刀	横折钩,撇
七	横,竖弯钩
干	横,横,竖
彐	横折,横,横
勿	撇,横折钩,撇,撇
开	横,横,撇,竖
月	撇,横折钩,横,横
歹	横,撇,横撇,点
文	点,横,撇,捺
贝	竖,横折,撇,点
冈	竖,横折钩,撇,点
衤	点,横撇,竖,撇,点
包	撇,横折钩,横折,横,竖弯钩
另	竖,横折,横,横折钩,撇
戋	横,横,斜钩,撇,点
